Box Length,Speed Demand,Number of Patterns Detected,Accuracy
2.85,0.8,6,1
2.85,0.8,6,1
2.85,0.8,3,0.5
2.85,0.8,6,1
2.85,0.8,6,1
2.85,0.8,5,0.833333333
2.85,0.8,5,0.833333333
2.85,0.8,6,1
2.85,0.8,5,0.833333333
2.85,0.8,5,0.833333333
2.85,1,7,1
2.85,1,7,1
2.85,1,7,1
2.85,1,6,0.857142857
2.85,1,7,1
2.85,1,7,1
2.85,1,7,1
2.85,1,7,1
2.85,1,6,0.857142857
2.85,1,7,1
2.85,1,7,1
2.85,1,7,1
2.85,1,7,1
2.85,1,7,1
2.85,1,7,1
2.85,1,7,1
2.85,1,6,0.857142857
2.85,1,7,1
2.85,1,7,1
2.85,1,7,1
2.85,1.2,8,0.888888889
2.85,1.2,5,0.555555556
2.85,1.2,8,0.888888889
2.85,1.2,8,0.888888889
2.85,1.2,8,0.888888889
2.85,1.2,8,0.888888889
2.85,1.2,8,0.888888889
2.85,1.2,7,0.777777778
2.85,1.2,5,0.555555556
2.85,1.2,8,0.888888889
2.85,1.2,8,0.888888889
2.85,1.2,8,0.888888889
2.85,1.2,8,0.888888889
2.85,1.2,5,0.555555556
2.85,1.2,7,0.777777778
2.85,1.2,8,0.888888889
2.85,1.2,7,0.777777778
2.85,1.2,7,0.777777778
2.85,1.2,8,0.888888889
2.85,1.2,8,0.888888889
2.85,1.4,10,1
2.85,1.4,10,1
2.85,1.4,10,1
2.85,1.4,9,0.9
2.85,1.4,6,0.6
2.85,1.4,9,0.9
2.85,1.4,10,1
2.85,1.4,9,0.9
2.85,1.4,8,0.8
2.85,1.4,8,0.8
2.85,1.4,9,0.9
2.85,1.4,6,0.6
2.85,1.4,9,0.9
2.85,1.4,9,0.9
2.85,1.4,9,0.9
2.85,1.4,7,0.7
2.85,1.4,10,1
2.85,1.4,6,0.6
2.85,1.4,9,0.9
2.85,1.4,9,0.9
2.85,1.6,11,1
2.85,1.6,11,1
2.85,1.6,6,0.545454545
2.85,1.6,11,1
2.85,1.6,11,1
2.85,1.6,11,1
2.85,1.6,11,1
2.85,1.6,7,0.636363636
2.85,1.6,10,0.909090909
2.85,1.6,11,1
2.85,1.6,11,1
2.85,1.6,11,1
2.85,1.6,6,0.545454545
2.85,1.6,11,1
2.85,1.6,11,1
2.85,1.6,11,1
2.85,1.6,11,1
2.85,1.6,11,1
2.85,1.6,11,1
2.85,1.6,11,1
2.85,1.8,12,0.923076923
2.85,1.8,12,0.923076923
2.85,1.8,6,0.461538462
2.85,1.8,4,0.307692308
2.85,1.8,12,0.923076923
2.85,1.8,7,0.538461538
2.85,1.8,10,0.769230769
2.85,1.8,8,0.615384615
2.85,1.8,12,0.923076923
2.85,1.8,12,0.923076923
2.85,1.8,6,0.461538462
2.85,1.8,10,0.769230769
2.85,1.8,11,0.846153846
2.85,1.8,12,0.923076923
2.85,1.8,11,0.846153846
2.85,1.8,12,0.923076923
2.85,1.8,12,0.923076923
2.85,1.8,12,0.923076923
2.85,1.8,12,0.923076923
2.85,1.8,7,0.538461538
2.85,2,13,0.866666667
2.85,2,12,0.8
2.85,2,5,0.333333333
2.85,2,5,0.333333333
2.85,2,9,0.6
2.85,2,13,0.866666667
2.85,2,11,0.733333333
2.85,2,12,0.8
2.85,2,13,0.866666667
2.85,2,12,0.8
2.85,2,7,0.466666667
2.85,2,13,0.866666667
2.85,2,7,0.466666667
2.85,2,11,0.733333333
2.85,2,12,0.8
2.85,2,12,0.8
2.85,2,11,0.733333333
2.85,2,12,0.8
2.85,2,13,0.866666667
2.85,2,11,0.733333333
2.85,2.2,8,0.5
2.85,2.2,13,0.8125
2.85,2.2,13,0.8125
2.85,2.2,9,0.5625
2.85,2.2,13,0.8125
2.85,2.2,7,0.4375
2.85,2.2,8,0.5
2.85,2.2,5,0.3125
2.85,2.2,13,0.8125
2.85,2.2,14,0.875
2.85,2.2,4,0.25
2.85,2.2,14,0.875
2.85,2.2,13,0.8125
2.85,2.2,4,0.25
2.85,2.2,6,0.375
2.85,2.2,14,0.875
2.85,2.2,13,0.8125
2.85,2.2,12,0.75
2.85,2.2,14,0.875
2.85,2.2,13,0.8125
